City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,kodiak,57.79,-152.4072,36.91,87,100,8.05,US,1712884869
155,saudarkrokur,65.7461,-19.6394,32.4,97,100,4.85,IS,1712884870
156,la sierpe,2.8518,-77.6155,78.64,87,69,2.06,CO,1712884870
157,north bend,43.4065,-124.2243,58.98,82,0,6.91,US,1712884870
158,nellore,14.4333,79.9667,80.89,77,13,5.61,IN,1712884870
159,lebu,-37.6167,-73.65,51.06,92,1,3.76,CL,1712884870
160,inhambane,-23.865,35.3833,70.0,75,97,12.39,MZ,1712884871
161,vallenar,-28.5708,-70.7581,64.9,64,100,1.72,CL,1712884871
162,badger,64.8,-147.5333,44.85,47,75,13.8,US,1712884871
163,bugana,7.9992,7.5836,84.72,67,100,8.55,NG,1712884871
164,hotan,37.0997,79.9269,62.26,18,42,8.57,CN,1712884872
165,woodward,36.4337,-99.3904,63.63,27,0,5.75,US,1712884872
166,kavaratti,10.5669,72.642,84.09,70,18,5.77,IN,1712884872
167,constantia,44.1833,28.65,61.7,65,45,6.38,RO,1712884872
168,strezhevoy,60.7333,77.5889,1.96,89,89,8.01,RU,1712884872
169,tosontsengel,48.7567,98.2839,36.72,52,24,10.02,MN,1712884873
170,nuuk,64.1835,-51.7216,27.21,86,40,6.91,GL,1712884873
171,vorgashor,67.5833,63.95,14.81,87,100,17.94,RU,1712884873
172,coyhaique,-45.5752,-72.0662,41.61,81,0,0.0,CL,1712884873
173,laascaanood,8.4774,47.3597,73.69,81,85,4.83,SO,1712884873
174,guatrache,-37.6678,-63.5302,49.48,72,100,7.78,AR,1712884874
175,la passe,45.5549,-0.8967,51.98,93,11,7.05,FR,1712884874
176,enewetak,11.3474,162.3373,80.29,79,79,19.71,MH,1712884874
177,griffith,41.5284,-87.4237,56.1,76,100,11.5,US,1712884874
178,salekhard,66.53,66.6019,20.39,95,100,17.0,RU,1712884875
179,soto la marina,23.7667,-98.2167,73.45,31,76,9.28,MX,1712884875
180,jurilovca,44.7667,28.8667,61.03,78,0,12.28,RO,1712884875
181,tolanaro,-25.0319,46.9987,73.47,88,40,11.5,MG,1712884875
182,cedeira,43.6797,-8.0209,61.05,92,10,2.1,ES,1712884875
183,kill devil hills,36.0307,-75.676,68.0,93,100,37.98,US,1712884876
184,tazacorte,28.629,-17.9293,76.17,20,100,9.22,ES,1712884876
185,krong kep,10.4833,104.3167,85.96,68,100,8.68,KH,1712884876
186,al mayadin,35.0209,40.4535,66.51,47,100,5.28,SY,1712884876
187,fortuna,40.5982,-124.1573,55.65,79,100,11.5,US,1712884876
188,roma,43.2128,-75.4557,62.87,85,100,13.8,US,1712884877
189,hasaki,35.7333,140.8333,63.28,84,100,9.64,JP,1712884877
190,rio grande,-32.035,-52.0986,68.36,60,100,14.67,BR,1712884877
191,kingston,17.997,-76.7936,83.35,74,20,13.8,JM,1712884877
192,chake chake,-5.2459,39.7666,81.32,85,99,8.01,TZ,1712884877
193,uturoa,-16.7333,-151.4333,83.43,80,23,17.69,PF,1712884878
194,puerto carreno,6.189,-67.4859,93.63,36,100,3.06,CO,1712884680
195,mesolongi,38.3702,21.4295,55.49,55,100,7.43,GR,1712884878
196,shirbin,31.1954,31.5213,55.67,91,0,3.94,EG,1712884878
197,sittwe,20.15,92.9,79.2,57,0,5.77,MM,1712884878
198,polyarnyy,69.1989,33.4478,30.36,88,100,23.73,RU,1712884878
199,bikenibeu village,1.3673,173.1241,87.76,74,20,5.75,KI,1712884879
200,geraldton,-28.7667,114.6,73.81,53,6,17.27,AU,1712884879
201,dzilam gonzalez,21.2833,-88.9333,73.11,66,100,7.05,MX,1712884879
202,kasongo-lunda,-6.4667,16.8167,72.43,98,100,0.87,CD,1712884879
203,bulawayo,-20.15,28.5833,57.58,84,100,15.03,ZW,1712884879
204,tommot,58.9564,126.2925,33.93,99,100,9.33,RU,1712884880
205,nar'yan-mar,67.6713,53.087,35.11,100,100,17.0,RU,1712884880
206,namibe,-15.1961,12.1522,72.48,74,7,6.78,AO,1712884880
207,saqqez,36.2499,46.2735,42.15,91,100,5.88,IR,1712884880
208,port augusta,-32.5,137.7667,65.46,50,60,4.56,AU,1712884881
209,necochea,-38.5473,-58.7368,50.38,70,100,6.58,AR,1712884701
210,pochinki,54.6988,44.8668,55.83,81,25,6.69,RU,1712884881
211,arauquita,7.0292,-71.4281,83.03,47,5,1.92,CO,1712884881
212,praia da vitoria,38.7333,-27.0667,61.75,100,40,6.71,PT,1712884701
213,huarmey,-10.0681,-78.1522,73.96,80,40,8.5,PE,1712884674
214,college,64.8569,-147.8028,44.92,48,75,13.8,US,1712884882
215,tyukalinsk,55.8732,72.1967,28.09,89,95,10.33,RU,1712884882
216,yeovil,50.9416,-2.6321,51.53,89,53,8.05,GB,1712884883
217,kayyerkan,69.3786,87.7439,-15.77,96,39,6.82,RU,1712884883
218,anar darah,32.7587,61.654,66.47,60,60,3.51,AF,1712884883
219,magadan,59.5667,150.8,24.53,90,19,3.02,RU,1712884670
220,victoria falls,-17.9235,25.843,70.0,65,100,10.33,ZW,1712884884
221,fort st. john,56.2499,-120.8529,49.89,37,100,8.05,CA,1712884884
222,ixtapa,20.7,-105.2,73.22,78,75,5.75,MX,1712884884
223,georgetown,5.4112,100.3354,85.93,70,20,8.05,MY,1712884867
224,carauari,-4.8828,-66.8958,75.88,98,100,1.86,BR,1712884885
225,baki,-7.6128,110.7839,79.59,86,84,4.97,ID,1712884885
226,minas de marcona,-15.2119,-75.1103,63.05,79,100,10.63,PE,1712884885
227,corner brook,48.9667,-57.9484,33.96,80,6,4.83,CA,1712884885
228,harper,4.375,-7.7169,79.09,88,100,2.98,LR,1712884885
